Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.863570444513181+0j),(-2.7247671243695963+0j),(-2.8248214224960826+0j)
(-0.919422158889185+0j),(-0.46471370147637175+0j),(-0.5125602639048956+0j)
0.7390695943782636,0.7048687170496769,0.7099356641134037,0.85
0.7353969349186151,0.7014627239898383,0.7064405897950714,0.855
0.7317020120327089,0.6980397852914322,0.7029286514525495,0.86
0.7279858695307532,0.694600799936608,0.6994007642009035,0.865
0.7242495317704616,0.6911466480968284,0.695857823977491,0.87
0.7204940038714173,0.6876781914072867,0.6923007078214785,0.875
0.7167202719309679,0.6841962732404187,0.6887302741523518,0.88
0.7129293032412335,0.6807017189780037,0.6851473630471467,0.885
0.7091220465072962,0.6771953362821386,0.6815527965163856,0.89
0.7052994320662533,0.6736779153647269,0.6779473787785003,0.895
0.7014623721069305,0.6701502292553028,0.6743318965326689,0.9
0.6976117608901566,0.666613034067293,0.6707071192299039,0.905
0.6937484749694056,0.6630670692623354,0.6670737993423672,0.91
0.6898733734116861,0.6595130579129049,0.6634326726307254,0.915
0.6859872980184876,0.6559517069627765,0.6597844584094307,0.92
0.6820910735466624,0.6523837074855219,0.6561298598100385,0.925
0.6781855079291923,0.6488097349408473,0.652469564042202,0.93
0.6742713924955659,0.6452304494286687,0.6488042426524792,0.935
0.6703495021917631,0.6416464959409979,0.6451345517808081,0.9400000000000001
0.6664205957997617,0.6380585046113596,0.6414611324145766,0.9450000000000001
0.6624854161562924,0.6344670909619538,0.6377846106402857,0.9500000000000001
0.6585446903709545,0.6308728561482124,0.634105597892695,0.9550000000000001
0.6545991300434989,0.6272763872010085,0.6304246912014052,0.96
0.6506494314801419,0.6236782572662527,0.6267424734349231,0.965
0.6466962759088652,0.6200790258418708,0.6230595135420797,0.97
0.6427403296937754,0.6164792390123025,0.6193763667907372,0.975
0.6387822445481425,0.6128794296802519,0.6156935750039638,0.98
0.6348226577462648,0.6092801177958255,0.6120116667933078,0.985
0.6308621923341677,0.6056818105830053,0.6083311577895081,0.99
0.6269014573387673,0.6020850027633285,0.6046525508703561,0.995
0.6229410479757862,0.5984901767770054,0.6009763363858672,1.0
0.6189815458560761,0.5948978030011677,0.5973029923806297,1.0050000000000001
0.6150235191905791,0.5913083399653872,0.5936329848133421,1.01
0.6110675229935969,0.5877222345646059,0.5899667677736388,1.0150000000000001
0.607114099284561,0.5841399222690953,0.5863047836960569,1.02
0.603163777288077,0.5805618273317878,0.582647463571192,1.025
0.5992170736324298,0.5769883629928548,0.5789952271541615,1.03
0.5952744925461726,0.5734199316814791,0.5753484831700708,1.035
0.5913365260531852,0.569856925214925,0.5717076295169061,1.04
0.5874036541658372,0.566299724994842,0.5680730534654865,1.045
0.5834763450763696,0.5627487022008194,0.5644451318566724,1.05
0.579555055346464,0.5592042179812422,0.5608242312958439,1.055
0.5756402300950325,0.5556666236414598,0.557210708344576,1.06
0.5717323031840035,0.5521362608291522,0.553604909709568,1.065
0.5678316974023266,0.5486134617170931,0.5500071724288633,1.07
0.5639388246481098,0.5450985491832029,0.5464178240553058,1.075
0.560054086108729,0.541591836987961,0.5428371828373508,1.08
0.5561778724391327,0.5380936299491491,0.5392655578971148,1.085
0.552310563938105,0.5346042241139719,0.5357032494058382,1.09
0.5484525307226717,0.5311239069285816,0.5321505487566336,1.095
0.5446041329005261,0.5276529574050349,0.5286077387346112,1.1
0.5407657207405032,0.5241916462856577,0.525075093684458,1.105
0.536937634841057,0.5207402362048135,0.5215528796753333,1.11
0.5331202062968173,0.517298981848278,0.5180413546632746,1.115
