Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.8614902746293387+0j),(-2.7223976102934087+0j),(-2.8233117448462304+0j)
(-0.9178129382165808+0j),(-0.46305802313530064+0j),(-0.5114825101733056+0j)
0.8657235233496878,0.8287155393177871,0.8383636711988202,0.585
0.8653049019846738,0.8280890216714726,0.8376757697005626,0.59
0.8647773346345955,0.8273647680196047,0.8368886539900577,0.595
0.8641430216301965,0.8265449693405355,0.8360045585889643,0.6
0.8634041458788136,0.8256317920348906,0.835025692903464,0.605
0.8625628722363543,0.8246273775244691,0.8339542408176244,0.61
0.8616213469227838,0.8235338418934135,0.8327923603299741,0.615
0.8605816969796346,0.8223532755693354,0.8315421832306044,0.62
0.8594460297677763,0.821087743042985,0.8302058148172949,0.625
0.8582164325034487,0.8197392826236372,0.8287853336483638,0.63
0.8568949718310804,0.8183099062292112,0.8272827913303925,0.635
0.8554836934310268,0.8168015992087259,0.8257002123390962,0.64
0.8539846216610009,0.8152163201956263,0.8240395938713757,0.645
0.8523997592293533,0.8135560009903104,0.8223029057272869,0.65
0.8507310868989633,0.8118225464701986,0.8204920902198468,0.655
0.8489805632203201,0.8100178345259934,0.8186090621113636,0.66
0.8471501242923608,0.8081437160226944,0.8166557085751893,0.665
0.8452416835499772,0.8062020147836844,0.814633889180697,0.67
0.8432571315767211,0.8041945275969555,0.8125454359009348,0.675
0.8411983359416524,0.8021230242421443,0.8103921531411167,0.68
0.8390671410592905,0.799989247536905,0.8081758177872123,0.685
0.8368653680714194,0.7977949134018643,0.8058981792729664,0.6900000000000001
0.8345948147495577,0.7955417109426147,0.8035609596646196,0.6950000000000001
0.8322572554175897,0.7932313025482451,0.8011658537620666,0.7000000000000001
0.8298544408929786,0.7908653240048773,0.798714529215564,0.705
0.8273880984461843,0.7884453846235561,0.796208626656836,0.71
0.8248599317767864,0.7859730673815933,0.7936497598438985,0.715
0.8222716210061725,0.7834499290762482,0.7910395158183764,0.72
0.8196248226853097,0.7808775004902265,0.7883794550749083,0.725
0.8169211698172288,0.7782572865679762,0.7856711117414982,0.73
0.8141622718932907,0.7755907666021329,0.7829159937700164,0.735
0.8113497149424928,0.7728793944293153,0.7801155831364371,0.74
0.8084850615932376,0.7701245986348153,0.7772713360498349,0.745
0.8055698511467835,0.767327782765049,0.7743846831695723,0.75
0.8026055996617757,0.7644903255477529,0.7714570298301127,0.755
0.799593800049193,0.7616135811188071,0.7684897562725327,0.76
0.796535922177299,0.7586988792555165,0.7654842178828388,0.765
0.7934334129856709,0.7557475256154753,0.7624417454356738,0.77
0.7902876966081549,0.7527608019807938,0.7593636453436414,0.775
0.7871001745040939,0.7497399665070189,0.7562511999112865,0.78
0.7838722255971493,0.7466862539763872,0.7531056675935024,0.785
0.7806052064213944,0.7436008760548222,0.7499282832578338,0.79
0.7773004512743736,0.7404850215525522,0.7467202584502448,0.795
0.7739592723763338,0.7373398566876047,0.7434827816639294,0.8
0.7705829600355425,0.7341665253520804,0.7402170186109628,0.805
0.7671727828190154,0.7309661493806096,0.7369241124961258,0.81
0.7637299877285477,0.7277398288209836,0.7336051842928538,0.8150000000000001
0.7602558003814098,0.7244886422062358,0.7302613330207509,0.8200000000000001
0.7567514251955277,0.7212136468282113,0.7268936360246027,0.8250000000000001
0.7532180455788269,0.717915879012188,0.7235031492543912,0.8300000000000001
0.7496568241222417,0.7145963543922297,0.720090907546053,0.835
0.7460689027962385,0.7112560681871848,0.7166579249029504,0.84
0.7424554031505651,0.707895995476876,0.7132051947774785,0.845
0.7388174265168429,0.7045170914784943,0.709733690352831,0.85
0.735156054213795,0.701120291822753,0.706244364824581,0.855
0.7314723477548419,0.6977065128297397,0.7027381516819728,0.86
0.727767349057865,0.6942766517842507,0.6992159649885762,0.865
0.7240420806567944,0.6908315872103885,0.6956786996622271,0.87
0.7202975459149102,0.6873721791452927,0.6921272317541783,0.875
0.7165347292396078,0.683899269411864,0.6885624187270223,0.88
0.7127545962984282,0.6804136818902677,0.6849850997315826,0.885
0.7089580942360244,0.6769162227881194,0.681396095882285,0.89
0.7051461518922577,0.6734076809092118,0.6777962105311583,0.895
0.7013196800207385,0.6698888279207409,0.6741862295402232,0.9
0.6974795715080563,0.6663604186187368,0.6705669215520995,0.905
0.6936267015933775,0.6628231911917918,0.6669390382588404,0.91
0.6897619280881649,0.659277867482821,0.6633033146688253,0.915
0.685886091596188,0.6557251532489602,0.6596604693716486,0.92
0.68200001573322,0.6521657384192296,0.6560112048008534,0.925
0.6781045073468072,0.6486002973502537,0.6523562074945634,0.93
0.674200356735554,0.6450294890795761,0.648696148353807,0.935
0.6702883378681144,0.6414539575768535,0.645031682898487,0.9400000000000001
0.6663692086015898,0.6378743319925865,0.6413634515210982,0.9450000000000001
0.6624437108992696,0.634291226904579,0.6376920797378297,0.9500000000000001
0.6585125710477696,0.6307052425617986,0.6340181784373244,0.9550000000000001
0.6545764998731994,0.6271169651258758,0.6303423441268073,0.96
0.6506361929565141,0.623526966910072,0.6266651591757018,0.965
0.6466923308478552,0.619935806615521,0.6229871920565778,0.97
0.6427455792798067,0.6163440295650868,0.6193089975834897,0.975
0.6387965893794973,0.6127521679344249,0.6156311171476223,0.98
0.6348459978795533,0.609160740980478,0.611954078950234,0.985
0.6308944273276978,0.6055702552672549,0.608278398232868,0.99
0.6269424862950551,0.6019812048889107,0.6046045775048304,0.995
0.6229907695830368,0.5983940716901632,0.6009331067679082,1.0
